Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Car_Door_handle , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Car_Door_handle , User Name: Zeeshan
Object Collected: Rope , User Name: Zeeshan
Object Collected: Feces_And_Urine , User Name: Zeeshan
Object Collected: Seat_Down , User Name: Zeeshan
Object Collected: Condom_Wrapper , User Name: Zeeshan
Object Collected: Shovel , User Name: Zeeshan
Object Collected: No weapons or belongings found , User Name: Zeeshan
Object Collected: Hole_In_Ground , User Name: Zeeshan
Object Collected: Description_Of_Victim (1) , User Name: Zeeshan
Object Collected: Description_Of_Victim , User Name: Zeeshan
Object Collected: Description_Of_Victim (2) , User Name: Zeeshan
Object Collected: Torn_Clothes , User Name: Zeeshan
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: Zee
Object Collected: Rope , User Name: Zee
Object Collected: Condom_Wrapper , User Name: Zee
Object Collected: Seat_Down , User Name: Zee
Object Collected: Feces_And_Urine , User Name: Zee
Object Collected: No weapons or belongings found , User Name: Zee
Object Collected: Hole_In_Ground , User Name: Zee
Object Collected: Description_Of_Victim (1) , User Name: Zee
Object Collected: Description_Of_Victim , User Name: Zee
Object Collected: Description_Of_Victim (2) , User Name: Zee
Object Collected: Torn_Clothes , User Name: Zee
Object Collected: Car_Door_handle , User Name: Zee
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Seat2 , User Name: 
Object Collected: Seat2 , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Hole_In_Ground , User Name: Z
Object Collected: Shovel , User Name: Z
Object Collected: Feces_And_Urine , User Name: Z
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Torn_Clothes , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Car_Door_handle , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Rope , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
