Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim (1) , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Description_Of_Victim (2) , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: Hole_In_Ground , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Torn_Clothes , User Name: 
Object Collected: Torn_Clothes , User Name: 
Object Collected: Torn_Clothes , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Shovel , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Feces_And_Urine , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Condom_Wrapper , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: Seat_Down , User Name: 
Object Collected: No weapons or belongings found , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
Object Collected: Rope , User Name: 
